id_arquivo;gt;tess_12;tess_7;OCR
82092117.png;State Office Tower / 30 East Broad Street/ Columbus, Ohio 43215 -3428 www ag state oh us An Equal Opportunity Employer;State Office Tower / 30 East Broad Street/ Columbus, Ohio 43215-3428 wwwag.state.oh.us An Equal Opportunity Employer ;State Office Tower / SO. naga ne Ohio 43215-3428 ;State Office Tower / 30 East Broad Street/ Columbus, Ohio 43215-3428 wwwag.state.oh.us An Equal Opportunity Employer
82092117.png;Primed an ;Crrinted on Peeyoted Pepe ;Crrinted on Peeyoted Pepe ;Crrinted on Peeyoted Pepe
82092117.png;12 /10 /98;12/10/98 ;2/10/98 ;12/10/98
82200067_0069.png;TO:;TO: ;TO: ;TO:
82200067_0069.png;FROM:;FROM: ;FROM: ;FROM:
82200067_0069.png;x; ;x ;x
82200067_0069.png;SUBJECT:;SUBJE ;SUBJECT: ;SUBJECT:
82200067_0069.png;DIVISION:;"DIVISION; ";"DIVISION; ";"DIVISION;"
82200067_0069.png;DIVISION:;prvisior ;DIVISION: ;DIVISION:
82200067_0069.png;DIVISION:;DIVISION: ;DIVISION: ;DIVISION:
82200067_0069.png;DIVISION:;DIVISION: ;"DIVISION; ";"DIVISION;"
82200067_0069.png;REGION:;REGION: ;REGION: ;REGION:
82200067_0069.png;DIVISION:;DIVISION: ;DIVISION: ;DIVISION:
82200067_0069.png;DIVISION:;DIVISION: ;DIVISION: ;DIVISION:
82200067_0069.png;DIVISION:;DIVISION: ;DIVISION: ;DIVISION:
82200067_0069.png;225;225 ;225 ;225
82200067_0069.png;27;27 ;27 ;27
82200067_0069.png;31;31 ;31 ;31
82200067_0069.png;18;418 ;418 ;418
82200067_0069.png;19;iS ;iS ;iS
82200067_0069.png;20; ;20 ;20
82200067_0069.png;82200067;82200067 ; ;82200067
82200067_0069.png;09/ 17/ 97 10: 55 603 841 1898;09/17/37 ee 55 ‘503 641 1898 ;O9/17/97T 10:55 #$$503 641 1898 ;O9/17/97T 10:55 #$$503 641 1898
82200067_0069.png;LORILLARD PTLD;LORILLARD PTLD ;LORILLARD PTLD ;LORILLARD PTLD
82200067_0069.png;â˜‘ 001;@oo1 ;@oo1 ;@oo1
82200067_0069.png;K. A. Sparrow;K. A. Sparrow ;K. A. Sparrow ;K. A. Sparrow
82200067_0069.png;T. D. Blachly;T. B. Blachty ;T. B. Blachty ;T. B. Blachty
82200067_0069.png;OLD GOLD MENTHOL LIGHTS & ULTRA LIGHTS 100'S PROGRESS REPORT; ;OLD GOLD MENTHOL LIGHTS & ULTRA LIGHTS 100'S - PROGRESS REPORT ;OLD GOLD MENTHOL LIGHTS & ULTRA LIGHTS 100'S - PROGRESS REPORT
82200067_0069.png;AUG 4;AUG 4 ;AUG 4 ;AUG 4
82200067_0069.png;SEP 15;SEP 15 ;SEP 15 ;SEP 15
82200067_0069.png;MAY 12;MAY 12 ;MAY 12 ;MAY 12
82200067_0069.png;JUN 23;JUN 23 ;JUN 23 ;JUN 23
82200067_0069.png;(ONLY IF PARTIAL REGION CONTINUE WITH DIVISION (S) SCOPE);(ONLY IF PARTIAL REGION CONTINUE WITH DIVISION(S} SCOPE} ;(ONLY IF PARTIAL REGION CONTINUE WITH DIVISION(S} SCOPE} ;(ONLY IF PARTIAL REGION CONTINUE WITH DIVISION(S} SCOPE}
82200067_0069.png;Portland # REPS: 6;# REPS: ;Portland §$o#FREPS: 6 ;Portland §$o#FREPS: 6
82200067_0069.png;Boise # REPS: 2. 5;Boise # REPS: 2.5 ;Boise # REPS: 2.5 ;Boise # REPS: 2.5
82200067_0069.png;Eugene # REPS: 5;Eugene # REPS: 5 ;Eugene §$_# REPS: 5 ;Eugene §$_# REPS: 5
82200067_0069.png;Seattle South # REPS: 7;Seattle South # REPS: ;Seattie South j§§ #REPS: 7 ;Seattie South j§§ #REPS: 7
82200067_0069.png;Seattle North # REPS: 4;Seattle North #SREPS: 4 ;Seale North § #REPS: 4 ;Seattle North #SREPS: 4
82200067_0069.png;Helena # REPS: 4;Helena @REPS: «4 ;Helena @REPS: «4 ;Helena @REPS: «4
82200067_0069.png;DIRECT ACCOUNTS AND CHAINS HEADQUARTERED WITHIN THE REGION (15 + STORES) STOCKING NO OLD GOLD MENTHOL LIGHTS OR ULTRA LIGHTS 100'S;DIRECT ACCOUNTS AND CHAINS HEADQUARTERED WITHIN THE REGION (15 + STORES) STOCKING NO OLD GOLD MENTHOL LIGHTS OR ULTRA LIGHTS 100° ;08 ee a eae AT OUR E curYs 100°S ;DIRECT ACCOUNTS AND CHAINS HEADQUARTERED WITHIN THE REGION (15 + STORES) STOCKING NO OLD GOLD MENTHOL LIGHTS OR ULTRA LIGHTS 100°
82200067_0069.png;NAME OF ACCOUNT;NAME OF-o ; ;NAME OF-o
82200067_0069.png;NO. OF STORES;OA DE SY ; ;OA DE SY
82200067_0069.png;Texaco Seattle;Taxaco - Seattle ;Taxaco - Seattle ;Taxaco - Seattle
82200067_0069.png;Texaco Portland;Texaco - Portland ;Texaco - Portland ;Texaco - Portland
82200067_0069.png;Maid -O Clover;Maid-O-Clover ;Maid-O-Clover ;Maid-O-Clover
82200067_0069.png;Dari Mart;Darl-Mart ;Darl-Mart ;Darl-Mart
82200067_0069.png;Zip Trip;Zip Trip ;Zip Trip ;Zip Trip
82200067_0069.png;Maverick;\Maverick ;\Maverick ;\Maverick
82200067_0069.png;Astro Gas;Astro Gas ;Astro Gas ;Astro Gas
82200067_0069.png;105 / 5;105 / ;105/ 5 ;105/ 5
82200067_0069.png;61 / 3;61/3 ;61/3 ;61/3
82200067_0069.png;20 / 2;20/2 ;20/2 ;20/2
82200067_0069.png;125 / 5;125 / 8 ;125 / 8 ;125 / 8
82200067_0069.png;106 / 4;106 / 4 ;106 / 4 ;106 / 4
82200067_0069.png;77 / 1;i ;Wit ;Wit
82200067_0069.png;600 / 7;600 / ;600 / 7 ;600 / 7
82200067_0069.png;Page 1 of 3 Pages;Pagel of 3 Pages ;Pagel of 3 Pages ;Pagel of 3 Pages
82250337_0338.png;TO:; ;TO: ;TO:
82250337_0338.png;FROM:;FROM: ;FROM: ;FROM:
82250337_0338.png;DATE:;DATE ;DATE: ;DATE:
82250337_0338.png;MANUFACTURER:;MANUFACTURER: ;MANUFACTURER: ;MANUFACTURER:
82250337_0338.png;BRAND:;BRAND: ;BRAND: ;BRAND:
82250337_0338.png;Oct.;Oct. ;Oct. ;Oct.
82250337_0338.png;Dec.;Dec. ;Dec. ;Dec.
82250337_0338.png;Jan.;Jan. ;Jan. ;Jan.
82250337_0338.png;Nov.;Nov. ;Nov. ;Nov.
82250337_0338.png;X; ;x ;x
82250337_0338.png;B&W;B&W ;B&W ;B&W
82250337_0338.png;82250337;822? 0447 ; ;822? 0447
82250337_0338.png;COMPETITIVE PRODUCT INTRODUCTION PROGRESS REPORT;COMPETITIVE PRODUCT INTRODUCTION PROGRESS REPORT ;COMPETITIVE | PRODUCT INTRODUCTION ;COMPETITIVE PRODUCT INTRODUCTION PROGRESS REPORT
82250337_0338.png;Sam Zolot;Sam Zolot ;Sam Zolot ;Sam Zolot
82250337_0338.png;Kool Waterfall;Kool Waterfall ;Kool Waterfall ;Kool Waterfall
82250337_0338.png;All Packings;All Packing: ;All Packings ;All Packings
82250337_0338.png;TYPE OF PACKINGS:;TYPE OF PACKINGS ;TYPE OF PACKINGS ;TYPE OF PACKINGS
82250337_0338.png;D. J. Landro;‘Landro ;D. J. Landro ;D. J. Landro
82250337_0338.png;2- Dec- 97;-Dac-97 ;2-Dec-97 ;2-Dec-97
82250337_0338.png;REPORTING PERIODS:;REPORTING PERIODS: ;REPORTING PERIODS: ;REPORTING PERIODS:
82250337_0338.png;TEST MARKET GEOGRAPHY:;TEST MARKET GEOGRAPHY ;TEST MARKET GEOGRAPHY ;TEST MARKET GEOGRAPHY
82250337_0338.png;Divisions 621 and 627 wisconsin;Divisions 621 and627.— ( We sScondie ;Divisions 621 and627.— ( We sScondie ;Divisions 621 and627.— ( We sScondie
82250337_0338.png;PRICE POINT:;PRICE PO! ;PRICE POINT: ;PRICE POINT:
82250337_0338.png;FULLS $ P/ V $;PIVS ;FULLS 3 #£PIVS ;FULLS 3 #£PIVS
82250337_0338.png;(Indicate Distributor's Cost Per Carton);Indicate Distributor’s Cost Per Carton ;Indicate Distributor’s Cost Per Carton ;Indicate Distributor’s Cost Per Carton
82250337_0338.png;SALES FORCE INVOLVEMENT:;SALES FORCE INVOLVEMENT: ;SALES FORCE INVOLVEMENT: ;SALES FORCE INVOLVEMENT:
82250337_0338.png;"They have crew- worked distribution, and it is reported that they may crew- work it again Sales force has been busy promoting old style backs to clean up inventory. All POS is being converted to ""B"" Kool.";"They have crew-worked distribution, and it is reported that they may crew-work it again. Sales force has been busy promoting old style packs to clean up inventory. All POS is being converted to ""B* Kool. ";ee ee eee bamnamiwewa ;"They have crew-worked distribution, and it is reported that they may crew-work it again. Sales force has been busy promoting old style packs to clean up inventory. All POS is being converted to ""B* Kool."
82250337_0338.png;DISTRIBUTORS ACCEPTANCE INTRO TERMS INTRO DEALS INVOLVEMENT:;DISTRIBUTORS - ACCEPTANCE/INTRO TERMS/INTRO DEALS/INVOLVEMENT: ;DISTRIBUTORS - ACCEPTANCE/INTRO TERMS/INTRO DEALS/INVOLVEMENT: ;DISTRIBUTORS - ACCEPTANCE/INTRO TERMS/INTRO DEALS/INVOLVEMENT:
82250337_0338.png;All accounts have the new packaging. It was not a problem obtaining new distribution. All accounts appear to have 100% distribution of new packings.;All accounts have the new packaging. It was not a problem obtaining new distribution. All accounts appear to have 100% distribution of new packings. ;ese -_ ene ee ae . = not a problem obtaining new distribution. All accounts appear ;All accounts have the new packaging. It was not a problem obtaining new distribution. All accounts appear to have 100% distribution of new packings.
82250337_0338.png;CHAINS ACCEPTANCE/ MERCHANDISING:;CHAINS - ACCEPTANCE/MERCHANDISING: ;CHAINS - ACCEPTANCE/MERCHANDISING: ;CHAINS - ACCEPTANCE/MERCHANDISING:
82250337_0338.png;"This has not been a problem. New packaging is just following on the old ""packaging"".";"his has not been a problem. New packaging is just following up on the old ""packaging”. ";"This has not been a problem. New packaging Is just following up on the old ""packaging”. ";"This has not been a problem. New packaging Is just following up on the old ""packaging”."
82250337_0338.png;INDEPENDENTS ACCEPTANCE/ MERCHANDISING:;INDEPENDENTS - ACCEPTANCE/MERCHANDISING: ;INDEPENDENTS - ACCEPTANCE/MERCHANDISING: ;INDEPENDENTS - ACCEPTANCE/MERCHANDISING:
82250337_0338.png;Very well received. The packs are peing consolidated and promoted in select retail locations at 40 off $4 00 off cartons.;Jery weil received. The old packs are being consolidated and promoted in select retail locations at 40¢ off/$4.00 off cartons. ;wen wel te old packs are being consolidated and promoted in select retail locations at 40¢ ;Jery weil received. The old packs are being consolidated and promoted in select retail locations at 40¢ off/$4.00 off cartons.
82250337_0338.png;ADVERTISING EFFECTIVENESS OF P. O. S.:;ADVE ISING - EFFECTIVENESS OF P.O.S. ;ADVERTISING - EFFECTIVENESS OF P.O.S.: ;ADVERTISING - EFFECTIVENESS OF P.O.S.:
82250337_0338.png;"The theme ""B"" Kool has replaced all previous POS. They have effectively replaced all old POS. New door signage, hour signs, poster mats, and clocks have the new design. ""B"" Kool also appears on billboards in llinois.";"The theme ""B"" Kool has replaced all previous POS. They have effectively replaced all old POS. New. door signage, hour signs, poster mats, and clocks have the new design. ""B Kool also appears on billboards in ";ee eT ne eve‘ Yon pen id ;"The theme ""B"" Kool has replaced all previous POS. They have effectively replaced all old POS. New. door signage, hour signs, poster mats, and clocks have the new design. ""B Kool also appears on billboards in"
82250337_0338.png;PAGE 1 OF 2;PAGE 1 OF 2 ;PAGE 1 OF 2 ;PAGE 1 OF 2
82251504.png;17;17 ;17 ;17
82251504.png;cc:; ;cc: ;cc:
82251504.png;:;To: ;To: ;To:
82251504.png;From:;From: ;From: ;From:
82251504.png;Area:;Area: ;Area: ;Area:
82251504.png;Region:;Region: ;Region: ;Region:
82251504.png;5; ;5 ;5
82251504.png;X; ;~*~ ;~*~
82251504.png;Chains:; ;Chains: ;Chains:
82251504.png;Independents:; ;Independents: ;Independents:
82251504.png;82251504;82251504 ; ;82251504
82251504.png;11/05/97 11: 03;11/05/97. 1 03 ;11/05/97 11:03 ;11/05/97 11:03
82251504.png;813 384 0683;813 884 0863 ;813 884 0863 ;813 884 0863
82251504.png;LORILLARD TAMPA GREENSBOR;JRILLARD TAKPA «++ GREENSBOR ;LORILLARD TAMPA ++» GREENSBOR ;LORILLARD TAMPA ++» GREENSBOR
82251504.png;0002/ 003;@}002/003 ;@}002/003 ;@}002/003
82251504.png;Retail Excel Progress Report;Retail Excel Progress Report ;Retail Excel Progress Report ;Retail Excel Progress Report
82251504.png;Submission for:;Submissi for: ;Submission for: ;Submission for:
82251504.png;Distribution by/ to:;Jistribution by/to: ;Distribution by/to: ;Distribution by/to:
82251504.png;DM to RSM 1st of Month RSM to R W. C. 10th;DM to RSM 1st of Month RSM to RW.C. 10th ;eee ean ;DM to RSM 1st of Month RSM to RW.C. 10th
82251504.png;D. O. S.; ;D.O.S, ;D.O.S,
82251504.png;R. W. Caldarella; ;R.W. Caldarella ;R.W. Caldarella
82251504.png;Kent B. Mills;Kent B. Mills ;Kent B. Mills ;Kent B. Mills
82251504.png;July 31;July 37 ;July 37 ;July 37
82251504.png;August 29;August 29 ;August 29 ;August 29
82251504.png;September 30;September 20 ;September 20 ;September 20
82251504.png;October 31;October 31 ;October 31 ;October 31
82251504.png;November 28;November 28 ;November 28 ;November 28
82251504.png;December 30;December 30 ;December 30 ;December 30
82251504.png;Acceptance/ Response:;Accentance/Response: ;Accentance/Response: ;Accentance/Response:
82251504.png;What is the retailers response to Lorillard's Excel;What is the retailers response to Lorillard's Excel ;What is the retailers response to Lorillard's Excel ;What is the retailers response to Lorillard's Excel
82251504.png;Merchandising plan?;Merchandising plan? ;Merchandising plan? ;Merchandising plan?
82251504.png;"This program has been successful to date with chains where our ""Flex";"This program has been successful to date with chains where our ""Flex ";"This program has been successful to date with chains where our ""Flex ";"This program has been successful to date with chains where our ""Flex"
82251504.png;"Payment"". was not place. The chains where were using the ""Flex Payment"" system we have not been las successful. The P. O. S. requirements of the P- 1 Plan with Oil Companies is difficult to obtain.";with Oil Companies is difficult to obtain. system we have not heen as successful, The P.O.S. requirements of the P-1 Plan ; ;with Oil Companies is difficult to obtain. system we have not heen as successful, The P.O.S. requirements of the P-1 Plan
82251504.png;Hardware Evaluation/ Effectiveness:;‘vali ;Hardware Evaluation/Effectiveness: ;Hardware Evaluation/Effectiveness:
82251504.png;Comment on the assembly of displays and;Comment on the assembly of displays and ;Comment on the assembly of displays and ;Comment on the assembly of displays and
82251504.png;application of shields:;application of shields: ;application of shields: ;application of shields:
82251504.png;The displays are easily assembled and durable. Some questions have been raised conceming the inability to be flush with the counter and/ or against the register. As well as the ability to place this or the Back Bar if the settlement goes through;2d ns have bi sanceming the inability to be flush with the counter andlor up against the register. ttlement goe: hrough ;tei ty na sh ah cit ana t ;2d ns have bi sanceming the inability to be flush with the counter andlor up against the register. ttlement goe: hrough
82251504.png;Pemanent Advertising Evaluation/ Effectiveness/ Acceptance: (P- 1/ P- 5 & C 5 Plans Only:;Permanent Advertising Evaluation/ ;Peomanent Advertising Evaluation/Fffectiveness/Acceptance: (P-1/P-5 & C-5 ;Peomanent Advertising Evaluation/Fffectiveness/Acceptance: (P-1/P-5 & C-5
82251504.png;Not available at this time; ;Not available at this time ;Not available at this time
82252956_2958.png;AUG 4;AUG 4 ;AUG 4 ;AUG 4
82252956_2958.png;SEP 15;SEP 15! ;SEP 15! ;SEP 15!
82252956_2958.png;JUN 23;‘JUN 23] ;‘JUN 23] ;‘JUN 23]
82252956_2958.png;MAY 12;MAY 12] ;MAY 12] ;MAY 12]
82252956_2958.png;REGION:;REGION: ;REGION: ;REGION:
82252956_2958.png;DIVISION:;DIVISION: ;DIVISION: ;DIVISION:
82252956_2958.png;7; ;7 ;7
82252956_2958.png;7; ;7 ;7
82252956_2958.png;TO:; ;TO: ;TO:
82252956_2958.png;FROM:;FROM: ;FROM: ;FROM:
82252956_2958.png;SUBJECT:;SUBJECT: ;SUBJECT: ;SUBJECT:
82252956_2958.png;OLOGOLD.XLS; ;OLOGOLD.ALS ;OLOGOLD.ALS
82252956_2958.png;82252956;829529956 ; ;829529956
82252956_2958.png;GEOGRAPHY; ;* GEOGRAPHY: ;* GEOGRAPHY:
82252956_2958.png;DISTRIBUTION;ISTRIBUTION ;“DISTRIBUTION ;“DISTRIBUTION
82252956_2958.png;144/14;144/14 ;144/14 ;144/14
82252956_2958.png;93;93 ;93 ;93
82252956_2958.png;K. A. Sparrow;K. A. Sparrow ;K. A. Sparrow ;K. A. Sparrow
82252956_2958.png;SUBMISSION DATE;ION T ;TSUBMSSION DATE ;TSUBMSSION DATE
82252956_2958.png;D. J. Landro;D, J, Landro ;D, J, Landro ;D, J, Landro
82252956_2958.png;OLD GOLD MENTHOL LIGHTS & ULTRA LIGHTS 100'S PROGRESS REPORT;OLD GOLD MENTHOL LIGHTS & ULTRA LIGHTS 100'S - PROGRESS REPORT ;OLD GOLD MENTHOL LIGHTS & ULTRA LIGHTS 100'S - PROGRESS REPORT ;OLD GOLD MENTHOL LIGHTS & ULTRA LIGHTS 100'S - PROGRESS REPORT
82252956_2958.png;(ONLY IF PARTIAL REGION CONTINUE WITH DIVISION (S) SCOPE);(ONLY IF PARTIAL REGION CONTINUE WITH DIVISION(S) SCOPE) ;(ONLY IF PARTIAL REGION CONTINUE WITH DIVISION(S) SCOPE) ;(ONLY IF PARTIAL REGION CONTINUE WITH DIVISION(S) SCOPE)
82252956_2958.png;DIVISION NAME:;DIVISION NAME: ;DIVISION NAME: ;DIVISION NAME:
82252956_2958.png;DIVISION NAME:;DIVISION NAME: ;DIVISION NAME: ;DIVISION NAME:
82252956_2958.png;DIVISION NAME:;DIVISION NAME: ;DIVISION NAME: ;DIVISION NAME:
82252956_2958.png;Milw. South;‘Milw. South ;‘Milw. South ;‘Milw. South
82252956_2958.png;Milw. North;Milw. North ;Milw. North ;Milw. North
82252956_2958.png;DIVISION NAME:;DIVISION NAMI ;DIVISION NAME: ;DIVISION NAME:
82252956_2958.png;DIVISION NAME:;DIVISION NAME: ;DIVISION NAME: ;DIVISION NAME:
82252956_2958.png;DIVISION NAME:;DIVISION NAME: ;DIVISION NAME: ;DIVISION NAME:
82252956_2958.png;# REP;#REP ;#REP ;#REP
82252956_2958.png;# REP;#REP ;#REP ;#REP
82252956_2958.png;# REPS;#REPS ;#REPS ;#REPS
82252956_2958.png;DIRECT ACCOUNTS AND CHAINS HEADQUARTERED WITHIN THE REGION (15 + STORES) STOCKING NO OLD GOLD MENTHOL LIGHTS OR ULTRA LIGHTS 100'S;DIRECT ACCOUNTS AND CHAINS HEADQUARTERED WITHIN THE REGION (15 + STORES) STOCKING NO OLD GOLD MENTHOL LIGHTS OR ULTRA LIGHTS 100'S ;15 + SORES SHOCKING NO CLO GOLE MENTHOL LiGHiVS OR ULTRAIonTS 100'S ;DIRECT ACCOUNTS AND CHAINS HEADQUARTERED WITHIN THE REGION (15 + STORES) STOCKING NO OLD GOLD MENTHOL LIGHTS OR ULTRA LIGHTS 100'S
82252956_2958.png;NAME OF ACCOUNT;NAME OF ACCOUNT ;NAME OF ACCOUNT ;NAME OF ACCOUNT
82252956_2958.png;IND/LOR VOLUME;LOR OLUME. ; ;LOR OLUME.
82252956_2958.png;NO. OF STORES;STORES. ; ;STORES.
82252956_2958.png;NAME OF ACCOUNT;NAME OF AC ;NAME OF ACCOUNT ;NAME OF ACCOUNT
82252956_2958.png;IND/LOR VOLUME; ;vate ;vate
82252956_2958.png;NO. OF TORES;NO. OF ae ‘ORES ; ;NO. OF ae ‘ORES
82252956_2958.png;Page1 of 3 Pages;Paget of 3 Pages ;Paget of 3 Pages ;Paget of 3 Pages
82252956_2958.png;Walgreen Drug;Walgreen Drug ;Walgreen Drug ;Walgreen Drug
82253058_3059.png;82253058;82253058 ;82253058 ;82253058
82253058_3059.png;LORILLARD;LORILLARD ;LORILLARD ;LORILLARD
82253058_3059.png;TO:;TO: ;TO: ;TO:
82253058_3059.png;FROM:;FROM: ;FROM: ;FROM:
82253058_3059.png;DATE:;DAI ;DATE: ;DATE:
82253058_3059.png;AUG;AUG ;AUG ;AUG
82253058_3059.png;SEPT;SEPT ;SEPT ;SEPT
82253058_3059.png;OCT;OocT ;OocT ;OocT
82253058_3059.png;NOV;NOV ;NOV ;NOV
82253058_3059.png;MANUFACTURER;MANUFACTURES ;MANUFACTURER: ;MANUFACTURER:
82253058_3059.png;BRAND:;BRAND: ;BRAND: ;BRAND:
82253058_3059.png;X; ;xX ;xX
82253058_3059.png;12/ 10/ 36 09: 51;12/10/36 00:51 ;12/10/26 00:51 ;12/10/26 00:51
82253058_3059.png;317 8450977;@317 845097) ;@317 845097) ;@317 845097)
82253058_3059.png;001/ 002;Poorvoos ;Poorvoos ;Poorvoos
82253058_3059.png;COMPETITIVE PRODUCT INTRODUCTION;COMPETITIVE PRODUCT INTRODUCTION ;COMPETITIVE PRODUCT INTRODUCTION ;COMPETITIVE PRODUCT INTRODUCTION
82253058_3059.png;PROGRESS REPORT;PROGRESS REPORT ;PROGRESS REPORT ;PROGRESS REPORT
82253058_3059.png;MRS. K. A. SPARROW;MRS. K. A. SPARROW ;MRS. K. A. SPARROW ;MRS. K. A. SPARROW
82253058_3059.png;R. J. Reynolds;R. J. Reynolds ;R. J. Reynolds ;R. J. Reynolds
82253058_3059.png;Camel Menthol;Camel Menthol ;Camel Menthol ;Camel Menthol
82253058_3059.png;Full Flavor Box and Light Box;Full Flavor Box and Light Box ;Full Flavor Box and Light Box ;Full Flavor Box and Light Box
82253058_3059.png;TYPE OF PACKINGS:;TYPE OF PACKINGS ;TYPE OF PACKINGS: ;TYPE OF PACKINGS:
82253058_3059.png;R. G. Ryan;R.G. Ryan ;R.G. Ryan ;R.G. Ryan
82253058_3059.png;12/ 10/ 96;120/96 ;120/96 ;120/96
82253058_3059.png;REPORTING PERIODS:;REPORTING PERIOD: ;REPORTING PERIODS: ;REPORTING PERIODS:
82253058_3059.png;(Forward by the 10th of the following month.);(Forward by the 10th of the fallowing month.) ;(Forward by the 10th of the fallowing month.) ;(Forward by the 10th of the fallowing month.)
82253058_3059.png;TEST MARKET GEOGRAPHY;TEST MARKET GEOGRAPHY: ;TEST MARKET GEOGRAPHY: ;TEST MARKET GEOGRAPHY:
82253058_3059.png;All of Region 7.;All of Region 7. ;All of Region 7. ;All of Region 7.
82253058_3059.png;PRICE POINT:;PRICE POINT: ;PRICE POINT: ;PRICE POINT:
82253058_3059.png;FULL $ 11.89 P/ V $ (Indicate Distributor's Cost Per Carton);FULL $11.89, lice ite [ ribute ost or Cartor ;FULL $11.89 PNV$ (indicate Distributor's Cost Per Carton) ;FULL $11.89 PNV$ (indicate Distributor's Cost Per Carton)
82253058_3059.png;Merchandising the top tray of permanent counter displays and labeling;Merchandising the top tray of permanent counter displays and labeling ;Merchandising the top tray of permanent counter displays and labeling ;Merchandising the top tray of permanent counter displays and labeling
